20170123,20170129,0.05
20170130,20170205,0.17
20170206,20170212,0.28
20170213,20170219,0.12
20170220,20170226,0.11
20170227,20170305,-0.01
20170306,20170312,-0.14
20170313,20170319,-0.10
20170320,20170326,0.19
20170327,20170402,0.09
20170403,20170409,0.32
20170410,20170416,0.28
20170417,20170423,0.22
20170424,20170430,0.30
20170501,20170507,0.31
20170508,20170514,0.38
20170515,20170521,0.33
20170522,20170528,0.19
20170529,20170604,-0.08
